,gene_symbol,length,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSGDEMO000871,GENE0871,1738,88,249,174,253,74,67
ENSGDEMO000872,GENE0872,2519,69,83,92,128,173,209
ENSGDEMO000873,GENE0873,1531,215,390,372,235,105,445
ENSGDEMO000874,GENE0874,6782,30,81,102,83,46,88
ENSGDEMO000875,GENE0875,7770,17,45,27,136,43,46
ENSGDEMO000876,GENE0876,3126,173,189,262,400,604,179
ENSGDEMO000877,GENE0877,3093,471,142,389,313,487,346
ENSGDEMO000878,GENE0878,7927,196,132,216,268,87,140
ENSGDEMO000879,GENE0879,1294,19,186,119,149,108,181
ENSGDEMO000880,GENE0880,1046,25,8,23,35,43,21
ENSGDEMO000881,GENE0881,4234,23,87,77,156,33,42
ENSGDEMO000882,GENE0882,5756,131,367,131,207,88,268
ENSGDEMO000883,GENE0883,5309,25,27,27,69,36,11
ENSGDEMO000884,GENE0884,6061,183,264,344,356,588,735
ENSGDEMO000885,GENE0885,4209,11,13,21,64,30,82
ENSGDEMO000886,GENE0886,4880,175,69,90,194,105,124
ENSGDEMO000887,GENE0887,4077,131,269,163,74,211,112
ENSGDEMO000888,GENE0888,2685,187,166,90,323,301,235
ENSGDEMO000889,GENE0889,4879,20,21,46,33,14,56
ENSGDEMO000890,GENE0890,2568,147,361,160,161,43,162
ENSGDEMO000891,GENE0891,3212,8,7,7,17,9,23
ENSGDEMO000892,GENE0892,2651,175,124,109,222,141,128
ENSGDEMO000893,GENE0893,3948,142,75,84,163,78,319
ENSGDEMO000894,GENE0894,7221,139,350,188,180,108,98
ENSGDEMO000895,GENE0895,2018,257,444,302,518,98,260
ENSGDEMO000896,GENE0896,6780,80,160,252,225,155,157
ENSGDEMO000897,GENE0897,7972,307,531,156,630,148,271
ENSGDEMO000898,GENE0898,2755,39,47,40,78,57,49
ENSGDEMO000899,GENE0899,3380,61,183,80,456,168,166
ENSGDEMO000900,GENE0900,7566,504,665,323,766,463,253
ENSGDEMO000901,GENE0901,5881,204,251,337,279,340,412
ENSGDEMO000902,GENE0902,6303,99,51,124,124,55,76
ENSGDEMO000903,GENE0903,6099,41,75,41,129,68,84
ENSGDEMO000904,GENE0904,2773,209,259,126,223,106,268
ENSGDEMO000905,GENE0905,1164,132,127,83,213,100,169
ENSGDEMO000906,GENE0906,4327,160,156,75,115,65,322
ENSGDEMO000907,GENE0907,1281,1,7,8,6,10,6
ENSGDEMO000908,GENE0908,2818,9,7,8,9,0,9
ENSGDEMO000909,GENE0909,6018,577,233,342,715,317,327
ENSGDEMO000910,GENE0910,3120,62,283,151,158,65,202
ENSGDEMO000911,GENE0911,7348,337,321,259,318,225,319
ENSGDEMO000912,GENE0912,2526,146,177,72,238,241,85
ENSGDEMO000913,GENE0913,2714,9,7,2,8,10,11
ENSGDEMO000914,GENE0914,3210,98,81,158,149,136,148
ENSGDEMO000915,GENE0915,3050,108,179,80,104,173,195
ENSGDEMO000916,GENE0916,1313,20,57,56,17,32,47
ENSGDEMO000917,GENE0917,790,100,245,86,153,52,220
ENSGDEMO000918,GENE0918,4118,29,35,24,33,14,61
ENSGDEMO000919,GENE0919,5960,51,95,90,121,66,64
ENSGDEMO000920,GENE0920,5148,22,42,21,8,16,23
ENSGDEMO000921,GENE0921,6059,2,3,3,3,7,6
ENSGDEMO000922,GENE0922,7002,7,8,3,5,11,5
ENSGDEMO000923,GENE0923,3818,46,84,105,168,134,154
ENSGDEMO000924,GENE0924,6550,405,443,482,414,482,606
ENSGDEMO000925,GENE0925,2466,120,273,156,342,98,225
ENSGDEMO000926,GENE0926,1962,27,195,78,162,36,32
ENSGDEMO000927,GENE0927,2952,30,37,12,30,34,62
ENSGDEMO000928,GENE0928,3515,433,521,355,239,239,426
ENSGDEMO000929,GENE0929,2467,727,1370,226,664,526,798
ENSGDEMO000930,GENE0930,5540,56,508,197,204,143,203
ENSGDEMO000931,GENE0931,4204,111,191,132,85,100,234
ENSGDEMO000932,GENE0932,1848,61,76,52,66,113,46
ENSGDEMO000933,GENE0933,3707,11,129,58,241,57,211
ENSGDEMO000934,GENE0934,5647,119,117,131,330,215,332
ENSGDEMO000935,GENE0935,1093,9,8,8,4,5,17
ENSGDEMO000936,GENE0936,2470,17,47,32,72,68,122
ENSGDEMO000937,GENE0937,7859,3,2,4,5,1,0
ENSGDEMO000938,GENE0938,1028,81,25,136,113,111,250
ENSGDEMO000939,GENE0939,6407,254,235,173,561,65,263
ENSGDEMO000940,GENE0940,2524,41,65,104,111,61,200
ENSGDEMO000941,GENE0941,2798,36,5,38,54,40,40
ENSGDEMO000942,GENE0942,5913,55,93,98,116,105,166
ENSGDEMO000943,GENE0943,4866,28,50,6,29,30,30
ENSGDEMO000944,GENE0944,4302,53,182,94,94,51,100
ENSGDEMO000945,GENE0945,930,60,116,119,197,18,84
ENSGDEMO000946,GENE0946,3461,78,160,205,96,177,173
ENSGDEMO000947,GENE0947,7187,137,87,47,106,109,186
ENSGDEMO000948,GENE0948,2060,29,112,50,54,39,84
ENSGDEMO000949,GENE0949,1066,56,112,81,242,72,273
ENSGDEMO000950,GENE0950,1585,51,95,68,89,30,84
ENSGDEMO000951,GENE0951,5154,158,235,140,316,123,167
ENSGDEMO000952,GENE0952,5898,113,198,154,187,155,134
ENSGDEMO000953,GENE0953,3151,245,393,218,164,62,367
ENSGDEMO000954,GENE0954,7409,60,83,47,124,61,173
ENSGDEMO000955,GENE0955,3330,118,101,78,73,46,119
ENSGDEMO000956,GENE0956,5818,22,80,33,78,41,91
ENSGDEMO000957,GENE0957,1812,50,127,189,106,25,43
ENSGDEMO000958,GENE0958,7518,71,216,233,215,63,106
ENSGDEMO000959,GENE0959,2883,37,102,41,97,28,115
ENSGDEMO000960,GENE0960,2253,131,181,160,427,482,613
ENSGDEMO000961,GENE0961,7719,57,109,77,110,131,45
ENSGDEMO000962,GENE0962,6455,54,56,54,72,36,43
ENSGDEMO000963,GENE0963,1290,225,233,276,393,240,219
ENSGDEMO000964,GENE0964,2257,47,76,79,52,32,108
ENSGDEMO000965,GENE0965,3952,68,220,191,106,41,137
ENSGDEMO000966,GENE0966,5504,526,337,1108,554,359,734
ENSGDEMO000967,GENE0967,2351,63,75,117,146,151,188
ENSGDEMO000968,GENE0968,4352,432,523,490,594,328,552
ENSGDEMO000969,GENE0969,4768,302,194,151,311,204,521
ENSGDEMO000970,GENE0970,1931,63,124,140,226,172,162
ENSGDEMO000971,GENE0971,3783,496,406,206,903,584,467
ENSGDEMO000972,GENE0972,5573,188,200,331,512,205,464
ENSGDEMO000973,GENE0973,6182,187,171,151,195,189,62
ENSGDEMO000974,GENE0974,6352,35,48,27,39,15,22
ENSGDEMO000975,GENE0975,6991,80,60,70,120,40,102
ENSGDEMO000976,GENE0976,2111,24,43,17,80,15,40
ENSGDEMO000977,GENE0977,688,150,99,76,34,112,71
ENSGDEMO000978,GENE0978,1788,64,71,92,110,111,219
ENSGDEMO000979,GENE0979,2178,78,116,172,198,56,59
ENSGDEMO000980,GENE0980,4628,49,93,60,89,182,68
ENSGDEMO000981,GENE0981,5470,138,138,58,191,79,114
ENSGDEMO000982,GENE0982,4519,90,91,89,111,98,61
ENSGDEMO000983,GENE0983,2537,52,28,36,170,71,125
ENSGDEMO000984,GENE0984,4083,61,23,69,136,42,91
ENSGDEMO000985,GENE0985,2082,36,207,90,330,84,76
ENSGDEMO000986,GENE0986,4193,20,20,25,21,2,25
ENSGDEMO000987,GENE0987,4892,53,103,86,95,56,71
ENSGDEMO000988,GENE0988,7162,35,28,35,84,50,73
ENSGDEMO000989,GENE0989,4592,183,240,187,167,78,275
ENSGDEMO000990,GENE0990,6067,5,4,12,14,11,13
ENSGDEMO000991,GENE0991,1955,63,87,64,134,45,132
ENSGDEMO000992,GENE0992,3498,73,107,154,226,102,61
ENSGDEMO000993,GENE0993,6831,34,180,53,157,46,32
ENSGDEMO000994,GENE0994,1023,145,543,407,284,271,561
ENSGDEMO000995,GENE0995,2017,788,646,898,692,411,732
ENSGDEMO000996,GENE0996,2493,37,105,32,36,28,39
ENSGDEMO000997,GENE0997,7666,51,33,22,105,42,70
ENSGDEMO000998,GENE0998,2775,47,89,44,97,61,112
ENSGDEMO000999,GENE0999,7355,48,56,51,92,36,56
ENSGDEMO001000,GENE1000,3176,54,90,94,86,16,59
ENSGDEMO001001,GENE1001,6338,194,265,178,280,213,294
ENSGDEMO001002,GENE1002,5030,61,62,75,131,72,31
ENSGDEMO001003,GENE1003,3404,560,803,300,469,263,498
ENSGDEMO001004,GENE1004,2130,117,29,49,130,68,145
ENSGDEMO001005,GENE1005,5238,82,238,214,330,221,460
ENSGDEMO001006,GENE1006,4247,29,37,40,145,35,52
ENSGDEMO001007,GENE1007,2362,11,36,21,36,20,28
ENSGDEMO001008,GENE1008,1989,4,9,9,7,8,11
ENSGDEMO001009,GENE1009,2275,98,33,98,49,145,25
ENSGDEMO001010,GENE1010,4323,20,40,70,40,32,36
ENSGDEMO001011,GENE1011,3639,7,9,13,22,27,47
ENSGDEMO001012,GENE1012,6143,200,68,97,335,86,131
ENSGDEMO001013,GENE1013,3750,92,95,114,81,147,125
ENSGDEMO001014,GENE1014,5784,11,12,19,8,16,9
ENSGDEMO001015,GENE1015,3603,59,164,56,147,116,184
ENSGDEMO001016,GENE1016,5029,153,185,147,570,189,153
ENSGDEMO001017,GENE1017,6426,40,27,48,87,19,36
ENSGDEMO001018,GENE1018,4540,2,17,9,22,14,32
ENSGDEMO001019,GENE1019,6022,171,365,251,517,120,382
ENSGDEMO001020,GENE1020,2097,59,135,74,138,143,73
ENSGDEMO001021,GENE1021,5054,7,7,18,26,5,13
ENSGDEMO001022,GENE1022,1640,25,60,20,113,116,36
ENSGDEMO001023,GENE1023,3242,91,79,72,54,75,45
ENSGDEMO001024,GENE1024,864,112,122,52,191,80,102
ENSGDEMO001025,GENE1025,5170,70,247,156,332,112,259
ENSGDEMO001026,GENE1026,5925,29,60,22,74,33,48
ENSGDEMO001027,GENE1027,2041,298,199,350,531,239,452
ENSGDEMO001028,GENE1028,7980,110,187,200,224,257,189
ENSGDEMO001029,GENE1029,7101,194,341,97,227,308,350
ENSGDEMO001030,GENE1030,7160,14,8,13,5,1,14
ENSGDEMO001031,GENE1031,2389,177,246,356,273,424,75
ENSGDEMO001032,GENE1032,7473,75,89,75,162,21,58
ENSGDEMO001033,GENE1033,2880,133,220,170,593,315,307
ENSGDEMO001034,GENE1034,697,78,173,310,201,90,153
ENSGDEMO001035,GENE1035,764,197,269,217,115,138,59
ENSGDEMO001036,GENE1036,2155,4,4,3,13,4,3
ENSGDEMO001037,GENE1037,4706,78,222,184,204,126,244
ENSGDEMO001038,GENE1038,5670,206,477,562,582,320,619
ENSGDEMO001039,GENE1039,7673,42,34,50,88,13,41
ENSGDEMO001040,GENE1040,6354,334,394,135,547,325,218
ENSGDEMO001041,GENE1041,5615,41,37,42,60,34,66
ENSGDEMO001042,GENE1042,7453,97,202,205,199,126,202
ENSGDEMO001043,GENE1043,5061,96,139,148,134,119,146
ENSGDEMO001044,GENE1044,3429,268,429,135,439,176,250
ENSGDEMO001045,GENE1045,7162,15,41,100,105,95,30
ENSGDEMO001046,GENE1046,7944,209,204,101,250,181,119
ENSGDEMO001047,GENE1047,6575,26,18,12,47,19,25
ENSGDEMO001048,GENE1048,1729,93,367,170,374,106,205
ENSGDEMO001049,GENE1049,4384,82,44,67,23,42,55
ENSGDEMO001050,GENE1050,7419,82,169,136,199,124,117
ENSGDEMO001051,GENE1051,877,306,159,110,299,224,380
ENSGDEMO001052,GENE1052,2401,292,148,231,346,230,321
ENSGDEMO001053,GENE1053,1914,75,178,93,348,225,156
ENSGDEMO001054,GENE1054,1786,43,78,22,153,42,105
ENSGDEMO001055,GENE1055,2584,28,63,160,77,133,82
ENSGDEMO001056,GENE1056,682,194,151,139,389,141,232
ENSGDEMO001057,GENE1057,6892,46,127,273,130,162,191
ENSGDEMO001058,GENE1058,4668,484,306,161,976,249,555
ENSGDEMO001059,GENE1059,1337,223,380,122,224,27,134
ENSGDEMO001060,GENE1060,2289,75,26,104,103,74,141
ENSGDEMO001061,GENE1061,1893,59,45,109,120,56,54
ENSGDEMO001062,GENE1062,7991,57,116,110,118,67,123
ENSGDEMO001063,GENE1063,3290,98,308,107,229,84,239
ENSGDEMO001064,GENE1064,2084,17,23,23,52,7,30
ENSGDEMO001065,GENE1065,4740,26,64,235,169,74,84
ENSGDEMO001066,GENE1066,6783,58,71,43,213,98,201
ENSGDEMO001067,GENE1067,7020,380,715,627,1328,562,507
ENSGDEMO001068,GENE1068,6907,42,142,131,86,71,88
ENSGDEMO001069,GENE1069,2723,51,48,69,34,37,52
ENSGDEMO001070,GENE1070,3652,44,232,128,202,140,125
ENSGDEMO001071,GENE1071,6252,10,15,28,26,27,15
ENSGDEMO001072,GENE1072,2388,12,81,46,54,40,19
ENSGDEMO001073,GENE1073,5458,274,352,259,457,226,513
ENSGDEMO001074,GENE1074,6682,62,111,53,62,87,148
ENSGDEMO001075,GENE1075,2036,5,73,73,68,23,33
ENSGDEMO001076,GENE1076,628,16,26,11,23,15,17
ENSGDEMO001077,GENE1077,5826,75,69,42,136,159,94
ENSGDEMO001078,GENE1078,772,174,228,172,470,252,425
ENSGDEMO001079,GENE1079,1929,33,34,129,45,36,166
ENSGDEMO001080,GENE1080,7445,96,72,100,101,139,160
ENSGDEMO001081,GENE1081,7643,73,98,33,63,68,67
ENSGDEMO001082,GENE1082,3016,78,171,177,89,11,130
ENSGDEMO001083,GENE1083,2960,125,183,55,554,162,162
ENSGDEMO001084,GENE1084,7953,66,39,63,91,36,95
ENSGDEMO001085,GENE1085,4776,524,401,571,643,147,278
ENSGDEMO001086,GENE1086,3088,134,252,326,146,198,355
ENSGDEMO001087,GENE1087,2018,146,405,178,303,118,130
ENSGDEMO001088,GENE1088,5305,54,112,85,110,136,32
ENSGDEMO001089,GENE1089,5773,34,9,28,31,21,36
ENSGDEMO001090,GENE1090,7111,56,69,28,38,70,35
ENSGDEMO001091,GENE1091,1809,25,44,20,45,42,33
ENSGDEMO001092,GENE1092,7816,9,15,17,12,20,14
ENSGDEMO001093,GENE1093,4175,124,160,280,167,87,236
ENSGDEMO001094,GENE1094,5689,34,141,150,227,93,103
ENSGDEMO001095,GENE1095,5906,62,95,160,226,165,223
ENSGDEMO001096,GENE1096,6024,63,155,77,111,48,147
ENSGDEMO001097,GENE1097,1005,4,33,33,55,14,8
ENSGDEMO001098,GENE1098,7534,50,78,142,142,198,211
ENSGDEMO001099,GENE1099,2643,27,44,64,77,54,62
ENSGDEMO001100,GENE1100,5919,78,94,130,87,97,164
ENSGDEMO001101,GENE1101,2032,172,473,284,287,563,683
ENSGDEMO001102,GENE1102,6508,17,98,46,78,63,73
ENSGDEMO001103,GENE1103,3902,24,54,32,100,27,93
ENSGDEMO001104,GENE1104,5989,183,190,134,282,99,331
ENSGDEMO001105,GENE1105,2383,65,59,94,254,187,326
ENSGDEMO001106,GENE1106,5760,75,80,97,99,31,150
ENSGDEMO001107,GENE1107,4474,95,107,116,163,99,77
ENSGDEMO001108,GENE1108,1869,153,166,136,1022,165,302
ENSGDEMO001109,GENE1109,2965,206,378,173,154,180,144
ENSGDEMO001110,GENE1110,3621,34,135,178,164,79,277
ENSGDEMO001111,GENE1111,5573,375,949,396,756,345,901
ENSGDEMO001112,GENE1112,2785,126,511,356,306,606,667
ENSGDEMO001113,GENE1113,5693,124,71,66,137,107,226
ENSGDEMO001114,GENE1114,5214,164,161,369,257,276,149
ENSGDEMO001115,GENE1115,1253,38,70,135,127,113,103
ENSGDEMO001116,GENE1116,6580,124,108,120,176,89,105
ENSGDEMO001117,GENE1117,1971,190,182,323,340,114,191
ENSGDEMO001118,GENE1118,2341,71,44,30,88,139,70
ENSGDEMO001119,GENE1119,5630,158,211,145,246,258,223
ENSGDEMO001120,GENE1120,2386,15,11,24,61,31,23
ENSGDEMO001121,GENE1121,2654,87,91,42,127,58,96
ENSGDEMO001122,GENE1122,5876,242,686,469,473,413,686
ENSGDEMO001123,GENE1123,5156,292,52,190,190,353,341
ENSGDEMO001124,GENE1124,4310,174,40,99,272,51,77
ENSGDEMO001125,GENE1125,6748,287,140,132,426,143,101
ENSGDEMO001126,GENE1126,1568,66,136,125,50,71,97
ENSGDEMO001127,GENE1127,3590,300,218,303,197,139,326
ENSGDEMO001128,GENE1128,4947,46,65,29,87,29,44
ENSGDEMO001129,GENE1129,7547,401,354,342,510,177,245
ENSGDEMO001130,GENE1130,3344,3,9,4,11,4,6
ENSGDEMO001131,GENE1131,1889,100,131,106,129,78,103
ENSGDEMO001132,GENE1132,4767,267,161,341,377,381,276
ENSGDEMO001133,GENE1133,5552,149,217,100,225,141,215
ENSGDEMO001134,GENE1134,736,12,6,17,19,8,17
ENSGDEMO001135,GENE1135,3783,5,36,14,38,18,19
ENSGDEMO001136,GENE1136,3056,104,243,395,359,387,214
ENSGDEMO001137,GENE1137,3656,212,391,488,310,234,268
ENSGDEMO001138,GENE1138,715,257,487,367,298,113,330
ENSGDEMO001139,GENE1139,7852,54,73,63,55,70,63
ENSGDEMO001140,GENE1140,1411,212,232,162,308,170,359
ENSGDEMO001141,GENE1141,7611,61,54,37,46,39,58
ENSGDEMO001142,GENE1142,1142,57,105,62,111,64,84
ENSGDEMO001143,GENE1143,5122,563,1361,755,972,763,413
ENSGDEMO001144,GENE1144,4766,66,99,68,133,40,64
ENSGDEMO001145,GENE1145,797,99,129,173,282,106,227
ENSGDEMO001146,GENE1146,2486,68,122,142,163,155,82
ENSGDEMO001147,GENE1147,5131,17,50,31,78,37,42
ENSGDEMO001148,GENE1148,2994,94,156,88,195,70,162
ENSGDEMO001149,GENE1149,7535,146,147,219,295,124,303
ENSGDEMO001150,GENE1150,935,168,204,199,244,122,101
ENSGDEMO001151,GENE1151,2404,74,29,78,96,49,137
ENSGDEMO001152,GENE1152,5710,108,75,127,56,46,157
ENSGDEMO001153,GENE1153,3567,82,104,96,110,93,265
ENSGDEMO001154,GENE1154,6510,322,322,653,1275,369,774
ENSGDEMO001155,GENE1155,5803,221,141,423,322,130,280
ENSGDEMO001156,GENE1156,5150,23,24,46,49,34,90
ENSGDEMO001157,GENE1157,1012,226,131,268,802,305,439
ENSGDEMO001158,GENE1158,1460,53,83,74,58,23,77
ENSGDEMO001159,GENE1159,1467,59,50,47,196,133,221
ENSGDEMO001160,GENE1160,1956,267,425,286,551,256,422
ENSGDEMO001161,GENE1161,4834,22,27,11,54,19,53
ENSGDEMO001162,GENE1162,4631,20,35,9,45,5,35
ENSGDEMO001163,GENE1163,6584,179,90,80,57,58,172
ENSGDEMO001164,GENE1164,6620,174,165,290,362,192,210
ENSGDEMO001165,GENE1165,1286,281,298,175,337,77,347
ENSGDEMO001166,GENE1166,7823,29,79,46,95,68,96
ENSGDEMO001167,GENE1167,7464,150,292,108,272,182,263
ENSGDEMO001168,GENE1168,1489,197,319,207,538,192,350
ENSGDEMO001169,GENE1169,7357,100,80,59,193,63,58
ENSGDEMO001170,GENE1170,5251,37,253,114,754,113,185
ENSGDEMO001171,GENE1171,7064,38,59,44,93,44,97
ENSGDEMO001172,GENE1172,4294,74,92,66,83,63,186
ENSGDEMO001173,GENE1173,6055,76,253,73,187,199,128
ENSGDEMO001174,GENE1174,1715,8,12,10,15,10,12
ENSGDEMO001175,GENE1175,5869,6,18,26,32,9,27
ENSGDEMO001176,GENE1176,6447,70,151,100,157,67,82
ENSGDEMO001177,GENE1177,1681,122,203,145,323,268,163
ENSGDEMO001178,GENE1178,2700,126,291,142,348,111,309
ENSGDEMO001179,GENE1179,1907,104,161,68,116,148,135
ENSGDEMO001180,GENE1180,6151,15,19,30,31,38,28
ENSGDEMO001181,GENE1181,6239,49,150,34,125,110,81
ENSGDEMO001182,GENE1182,4140,116,120,84,59,43,165
ENSGDEMO001183,GENE1183,2180,329,795,133,248,106,170
ENSGDEMO001184,GENE1184,4120,35,50,42,63,40,51
ENSGDEMO001185,GENE1185,783,178,206,232,293,157,171
ENSGDEMO001186,GENE1186,7474,37,302,82,203,170,72
ENSGDEMO001187,GENE1187,6475,142,74,78,104,123,116
ENSGDEMO001188,GENE1188,6310,20,16,22,18,13,21
ENSGDEMO001189,GENE1189,2709,272,299,232,406,173,171
ENSGDEMO001190,GENE1190,3702,129,376,264,155,119,182
ENSGDEMO001191,GENE1191,7051,113,78,159,216,55,414
ENSGDEMO001192,GENE1192,5170,466,279,551,512,200,351
ENSGDEMO001193,GENE1193,4521,146,234,216,213,132,175
ENSGDEMO001194,GENE1194,2551,217,93,112,129,153,194
ENSGDEMO001195,GENE1195,2966,28,138,149,110,109,46
ENSGDEMO001196,GENE1196,6854,3,12,9,9,5,15
ENSGDEMO001197,GENE1197,1260,158,322,205,392,81,117
ENSGDEMO001198,GENE1198,4769,45,49,87,75,136,101
ENSGDEMO001199,GENE1199,7586,20,92,87,239,60,143
ENSGDEMO001200,GENE1200,6780,340,228,208,597,164,348
